Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,505608515,1668463345
420.69,-1,10000,-1,505965921,1668463702
1,1,869.3101,1,505876843,1668463613
1,1,716.2949,1,505886234,1668463622
1,1,637.1126,2,505739359,1668463475
1,1,801.8938999,2,505839171,1668463575
1,1,650.7757,2,505881234,1668463617
0,1,874.2027,3,505798031,1668463534
1,1,684.8418,3,505835046,1668463571
1,1,794.7596,6,506153421,1668463889
0,1.41,922.7571,1,505788578,1668463525
1,1.41,706.9819,3,505757187,1668463493
1,1.41,635.9458,3,505867562,1668463604
1,1.41,876.7429,3,505899640,1668463636
1,1.41,757.0727,4,506227750,1668463964
1,1.41,676.0776,4,506232562,1668463969
1,1.41,761.328,6,506060937,1668463797
1,1.41,813.7463,6,506213375,1668463949
1,1.41,739.4266,6,506222656,1668463959
1,2,496.2176,2,505771140,1668463507
1,2,743.7556,3,505793343,1668463529
1,2,650.8613,3,505858375,1668463594
1,2,685.558,4,506102828,1668463839
1,2,656.9193,4,506148500,1668463885
1,2,915.8406,4,506250859,1668463987
1,2,676.7165,6,506121703,1668463858
1,2,596.5331,6,506209328,1668463945
1,2.83,733.7664,1,505743640,1668463480
1,2.83,531.2263,1,505748531,1668463485
1,2.83,568.4196,2,505918640,1668463655
1,2.83,852.9639,4,506130062,1668463866
1,2.83,655.5429,4,506167703,1668463904
1,2.83,485.6221,5,506140125,1668463876
1,2.83,701.1491,6,506093640,1668463830
1,4,748.8215,1,505853171,1668463589
0,4,705.4813,1,505895171,1668463631
1,4,436.0451,2,505775484,1668463511
1,4,605.0297,2,505830734,1668463567
1,4,703.5203,2,505904937,1668463641
1,4,641.2031999,4,506088562,1668463825
1,4,473.3574,5,506125828,1668463862
1,4,483.0131,5,506144359,1668463880
1,4,632.5958,5,506190953,1668463927
1,5.66,593.5789999,2,505766703,1668463503
1,5.66,588.6711,4,506065328,1668463801
1,5.66,533.9331,4,506070187,1668463806
1,5.66,778.7041,4,506186156,1668463922
1,5.66,592.0135,6,506112406,1668463848
1,5.66,605.7376,6,506204265,1668463940
1,5.66,521.9319,6,506236937,1668463973
420.69,8,10000,1,505634593,1668463371
1,8,538.2273,1,505730218,1668463466
1,8,638.2793,1,505762234,1668463498
1,8,635.6773,1,505784500,1668463520
1,8,518.6802,1,505812375,1668463548
1,8,810.3015001,1,505913578,1668463650
420.69,8,10000,2,505649015,1668463385
420.69,8,10000,3,505663828,1668463400
420.69,8,5000,4,505985468,1668463721
0,8,603.4846,4,506135468,1668463871
420.69,8,5000,5,505994109,1668463730
1,8,450.2263,5,506177468,1668463913
420.69,8,5000,6,506002968,1668463739
1,8,630.5773,6,506199828,1668463936
1,11.31,530.099,1,505734781,1668463471
1,11.31,498.7278,1,505752921,1668463489
1,11.31,616.961,3,505872453,1668463608
1,11.31,557.284,5,506079843,1668463816
1,11.31,750.2085,5,506195421,1668463931
1,11.31,644.263,5,506245859,1668463982
0,11.31,617.6179,6,506162859,1668463899
1,11.31,1067.174,6,506240968,1668463977
1,16,572.7324,1,505808156,1668463544
1,16,570.7876,2,505826062,1668463562
1,16,628.566,2,505909296,1668463645
1,16,780.2142,4,506107578,1668463844
1,16,645.4587,4,506158453,1668463894
1,16,547.9617,5,506181781,1668463918
1,16,592.7701,6,506097781,1668463834
1,21.17,703.1988,1,505802984,1668463539
1,21.17,701.9841,2,505890421,1668463626
1,21.17,559.3638,4,506117359,1668463853
1,21.17,613.4367,4,506172609,1668463909
1,21.17,650.738,4,506218453,1668463954
1,21.17,624.0473,6,506075062,1668463811
1,21.17,632.9345,6,506083984,1668463820
1,28,611.5482,1,505821000,1668463557
1,28,549.3925,1,505848453,1668463584
1,28,775.8029,2,505816562,1668463553
1,28,724.9064,2,505863203,1668463599
1,28,571.3293,2,505923156,1668463659
1,28,989.6848,3,505779562,1668463516
1,28,778.5881,3,505843718,1668463580
