Correct Response,Height (deg),Reaction Time (ms),Target,Face Start Time (CPU Uptime),UTC Time
1,1,697.4035,1,425425640,1667860995
1,1.41,660.857,1,425311750,1667860881
1,2,551.6112,1,425343250,1667860913
1,2,511.3744,1,425365421,1667860935
1,2,627.9272,1,425397687,1667860967
1,2.83,543.6153,1,425333921,1667860903
1,2.83,489.641,1,425338390,1667860908
1,2.83,437.9423,1,425374687,1667860944
1,2.83,455.9715,1,425416906,1667860986
1,4,607.507,1,425361187,1667860931
1,4,525.2407,1,425370015,1667860939
1,5.66,839.876,1,425356906,1667860926
1,5.66,644.2785,1,425412375,1667860982
420.69,8,10,1,425203375,1667860773
1,8,497.1788001,1,425471375,1667861041
1,11.31,472.0538,1,425393250,1667860963
1,11.31,629.0608,1,425485718,1667861055
1,16,501.6237,1,425451828,1667861021
1,16,633.8487,1,425490203,1667861060
1,21.17,593.111,1,425388921,1667860958
1,28,511.4007,1,425316046,1667860885
1,28,570.7267,1,425447703,1667861017
1,28,525.0394,1,425456750,1667861026
0,1,611.2666,2,425352390,1667860922
1,1.41,660.3711,2,425461421,1667861031
1,2.83,463.9453,2,425476203,1667861046
1,4,533.4109,2,425347625,1667860917
1,4,648.0849,2,425439250,1667861009
420.69,8,10,2,425216390,1667860786
1,8,612.3239,2,425443343,1667861013
1,11.31,752.5244,2,425329718,1667860899
1,21.17,554.5811,2,425407375,1667860977
1,28,661.0392,2,425325531,1667860895
1,1.41,883.111,3,425383593,1667860953
1,1.41,868.8772,3,425402062,1667860971
1,2,848.3851,3,425429859,1667860999
1,2,494.8054,3,425481093,1667861051
1,2.83,933.3499,3,425320562,1667860890
1,5.66,621.5138,3,425466531,1667861036
420.69,8,10,3,425229046,1667860798
1,8,1096.2831,3,425307093,1667860876
1,11.31,639.0243,3,425421328,1667860991
1,21.17,1069.9394,3,425379125,1667860949
1,21.17,754.6312,3,425435046,1667861004
1,1,804.2933,4,425687890,1667861257
0,1,-109,4,425698093,1667861267
1,1,881.1567,4,425786890,1667861356
1,1.41,581.4758,4,425725375,1667861295
1,2,982.1638,4,425668515,1667861238
1,2.83,596.0302,4,425721140,1667861291
1,2.83,614.3169,4,425838203,1667861408
1,4,818.2507,4,425693031,1667861262
1,4,489.4205,4,425733796,1667861303
1,5.66,517.2678,4,425829546,1667861399
420.69,8,10,4,425563187,1667861133
1,8,545.1095,4,425729593,1667861299
0,11.31,507.1333,4,425801250,1667861371
1,11.31,1034.1051,4,425862437,1667861432
1,21.17,699.5964,4,425711328,1667861281
1,21.17,658.149,4,425815031,1667861384
1,21.17,570.8937,4,425847953,1667861417
1,28,696.7985,4,425782046,1667861351
1,1.41,1183.8667,5,425683109,1667861253
0,1.41,1003.4764,5,425738734,1667861308
1,1.41,747.6798,5,425748750,1667861318
1,1.41,1155.3578,5,425819531,1667861389
1,2,760.0829,5,425872687,1667861442
1,4,672.5828,5,425753937,1667861323
1,4,593.7377,5,425825125,1667861395
1,5.66,621.0465,5,425702765,1667861272
420.69,8,10,5,425576562,1667861146
0,8,851.3516,5,425767390,1667861337
1,8,873.102,5,425791421,1667861361
1,8,719.7,5,425852281,1667861422
1,8,916.8549,5,425867703,1667861437
1,16,811.4517,5,425678609,1667861248
1,16,873.6172999,5,425796750,1667861366
0,21.17,916.4764,5,425664156,1667861234
1,28,1040.7862,5,425857343,1667861427
1,1,1092.7461,6,425673906,1667861243
1,1,798.7609,6,425716484,1667861286
1,1,736.5846,6,425805156,1667861375
1,1.41,745.6845,6,425842875,1667861412
420.69,8,10,6,425589328,1667861159
1,8,762.2643,6,425707015,1667861276
1,11.31,575.1918,6,425834062,1667861403
1,16,675.4641,6,425772296,1667861342
1,16,630.1374,6,425809937,1667861379
1,21.17,640.0493,6,425744078,1667861313
1,21.17,495.6223,6,425777031,1667861346
1,28,612.5987,6,425758046,1667861327
1,28,578.1722,6,425762656,1667861332
0,1,740.6475,7,426043890,1667861613
1,1,747.6511,7,426071921,1667861641
1,1.41,750.8,7,426137546,1667861707
1,2,1090.234,7,426094421,1667861664
1,2,582.4763,7,426151656,1667861721
1,2,728.4271,7,426208015,1667861777
0,2.83,977.6888,7,426170156,1667861740
1,4,537.9861,7,426217984,1667861787
1,5.66,515.482,7,426058250,1667861628
1,5.66,568.8484,7,426133218,1667861703
1,5.66,614.9667,7,426161296,1667861731
420.69,8,10,7,425945937,1667861515
1,8,570.558,7,426090203,1667861660
1,11.31,534.877,7,426113156,1667861683
1,16,576.9883,7,426080828,1667861650
1,16,549.8362,7,426099296,1667861669
1,16,646.2511,7,426184671,1667861754
1,28,708.2943,7,426053203,1667861623
1,1,674.6292,8,426104000,1667861673
1,1,603.1484,8,426165375,1667861735
1,1,718.6931,8,426189515,1667861759
1,1.41,813.4768,8,426048218,1667861618
1,2,618.387,8,426085625,1667861655
1,2.83,950.1912,8,426251437,1667861821
1,4,723.7422,8,426146875,1667861716
420.69,8,10,8,425958531,1667861528
1,8,554.9629,8,426246531,1667861816
1,21.17,508.9522,8,426076531,1667861646
1,21.17,501.0313,8,426175093,1667861745
1,28,953.7405,8,426062843,1667861632
1,28,554.9559,8,426156687,1667861726
1,1,1099.1091,9,426232109,1667861802
1,2.83,684.71,9,426118140,1667861688
1,2.83,1181.8513,9,426226484,1667861796
0,4,-109,9,426128062,1667861697
1,4,627.5013,9,426222343,1667861792
1,5.66,716.1965,9,426142515,1667861712
1,5.66,682.6566,9,426242218,1667861812
420.69,8,10,9,425971140,1667861541
1,8,1122.9754,9,426123296,1667861693
0,8,565.2418,9,426180000,1667861749
1,11.31,605.2587,9,426067359,1667861637
1,11.31,1119.8286,9,426108625,1667861678
1,11.31,705.1085,9,426203171,1667861773
1,11.31,760.3194,9,426237312,1667861807
1,16,826.4584,9,426194093,1667861764
0,16,756.4556,9,426198968,1667861768
1,16,725.9999,9,426213000,1667861782
