Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,505608515,1668463344.5210357
420.69,8,10000,1,505634593,1668463370.5979254
420.69,8,10000,2,505649015,1668463385.010291
420.69,8,10000,3,505663828,1668463399.828966
1,8,538.2273000134714,1,505730218,1668463466.2146156
1,11.31,530.0989999953285,1,505734781,1668463470.7815309
1,1,637.1126000006311,2,505739359,1668463475.3543994
1,2.83,733.7663999926858,1,505743640,1668463479.6336946
1,2.83,531.2262999644131,1,505748531,1668463484.5319867
1,11.31,498.72780000377446,1,505752921,1668463488.9245148
1,1.41,706.981900001932,3,505757187,1668463493.18104
1,8,638.2792999786884,1,505762234,1668463498.2408218
1,5.66,593.5789999487438,2,505766703,1668463502.7095227
1,2,496.217599981986,2,505771140,1668463507.1433947
1,4,436.0451000095904,2,505775484,1668463511.483589
1,28,989.6848000055738,3,505779562,1668463515.5689554
1,8,635.677300014589,1,505784500,1668463520.499309
0,1.41,922.7570999931172,1,505788578,1668463524.572447
1,2,743.7555999779702,3,505793343,1668463529.3432763
0,1,874.2027000110224,3,505798031,1668463534.0368009
1,21.17,703.1987999501266,1,505802984,1668463538.9916608
1,16,572.7324000029453,1,505808156,1668463544.1619554
1,8,518.680200009197,1,505812375,1668463548.377157
1,28,775.802899995409,2,505816562,1668463552.5584137
1,28,611.5481999870949,1,505821000,1668463556.9942648
1,16,570.7875999790244,2,505826062,1668463562.0683615
1,4,605.0297000031546,2,505830734,1668463566.735674
1,1,684.8417999856733,3,505835046,1668463571.0509038
1,1,801.8938999442012,2,505839171,1668463575.1739721
1,28,778.5881000157074,3,505843718,1668463579.723863
1,28,549.3924999894202,1,505848453,1668463584.4562552
1,4,748.8215000187606,1,505853171,1668463589.1792004
1,2,650.8613000326418,3,505858375,1668463594.3810961
1,28,724.9063999909536,2,505863203,1668463599.2013037
1,1.41,635.9458000218124,3,505867562,1668463603.57129
1,11.31,616.9609999918007,3,505872453,1668463608.461657
1,1,869.3101000092552,1,505876843,1668463612.8396537
1,1,650.7757000211254,2,505881234,1668463617.236786
1,1,716.2949000187778,1,505886234,1668463622.2348495
1,21.17,701.9841000140273,2,505890421,1668463626.4171872
0,4,705.4812999843248,1,505895171,1668463631.1739225
1,1.41,876.7428999702074,3,505899640,1668463635.6350465
1,4,703.5202999534645,2,505904937,1668463640.9437659
1,16,628.565999998767,2,505909296,1668463645.2981088
1,8,810.3015000518039,1,505913578,1668463649.5725965
1,2.83,568.419599992279,2,505918640,1668463654.6396105
1,28,571.3292999710516,2,505923156,1668463659.1549778
420.69,-1,10000,-1,505965921,1668463701.9245896
420.69,8,5000.0,4,505985468,1668463721.4719958
420.69,8,5000.0,5,505994109,1668463730.1177785
420.69,8,5000.0,6,506002968,1668463738.9639778
1,1.41,761.3280000216887,6,506060937,1668463796.9329946
1,5.66,588.6711000050977,4,506065328,1668463801.3382304
1,5.66,533.9330999698118,4,506070187,1668463806.1851537
1,21.17,624.0472999918834,6,506075062,1668463811.0703473
1,11.31,557.2840000088886,5,506079843,1668463815.8506737
1,21.17,632.9344999678992,6,506083984,1668463819.9817405
1,4,641.2031999491714,4,506088562,1668463824.5586333
1,2.83,701.1491000005603,6,506093640,1668463829.642862
1,16,592.7701000175998,6,506097781,1668463833.7903807
1,2,685.558000025861,4,506102828,1668463838.834407
1,16,780.2141999994033,4,506107578,1668463843.5791166
1,5.66,592.0134999608249,6,506112406,1668463848.4079897
1,21.17,559.3638000130281,4,506117359,1668463853.3682559
1,2,676.7165000485816,6,506121703,1668463857.699035
1,4,473.3573999540508,5,506125828,1668463861.8296697
1,2.83,852.9638999892027,4,506130062,1668463866.0592043
0,8,603.4845999959484,4,506135468,1668463871.4660842
1,2.83,485.6220999784395,5,506140125,1668463876.1308124
1,4,483.0130999610387,5,506144359,1668463880.357025
1,2,656.9193000025675,4,506148500,1668463884.510908
1,1,794.7595999860764,6,506153421,1668463889.421067
1,16,645.4587000473962,4,506158453,1668463894.4575875
0,11.31,617.6178999879025,6,506162859,1668463898.8697128
1,2.83,655.5428999993578,4,506167703,1668463903.7043085
1,21.17,613.4366999897734,4,506172609,1668463908.6174965
1,8,450.22630001703277,5,506177468,1668463913.4775906
1,16,547.9617000376434,5,506181781,1668463917.7840486
1,5.66,778.704099967666,4,506186156,1668463922.1556468
1,4,632.5958000082151,5,506190953,1668463926.9511986
1,11.31,750.2084999862686,5,506195421,1668463931.4333172
1,8,630.5773000051827,6,506199828,1668463935.8325102
1,5.66,605.737599980142,6,506204265,1668463940.2661037
1,2,596.5330999745615,6,506209328,1668463945.3394992
1,1.41,813.746299972348,6,506213375,1668463949.386168
1,21.17,650.7380000250973,4,506218453,1668463954.4605362
1,1.41,739.4266000185721,6,506222656,1668463958.660032
1,1.41,757.0726999831945,4,506227750,1668463963.7467537
1,1.41,676.0776000149176,4,506232562,1668463968.5722778
1,5.66,521.9319000309893,6,506236937,1668463972.9491634
1,11.31,1067.1739999955148,6,506240968,1668463976.9801216
1,11.31,644.2629999649339,5,506245859,1668463981.8603048
1,2,915.8406000054069,4,506250859,1668463986.8603919
