Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,2514156,1669671774.4807146
420.69,8,10000,1,2540562,1669671800.8889182
420.69,8,10000,2,2555109,1669671815.434263
420.69,8,10000,3,2569218,1669671829.5367734
1,2.83,534.7150000000452,3,2636265,1669671896.591822
1,28,1122.5660999996703,1,2640828,1669671901.1502864
1,5.66,859.3863999997607,3,2646140,1669671906.4628825
1,28,721.5847999998855,3,2650937,1669671911.2547724
1,28,521.5546000002118,2,2655296,1669671915.6156113
0,21.17,782.7202000001248,1,2659343,1669671919.666646
1,2,570.8917999998389,2,2663562,1669671923.8880734
1,11.31,577.8212000002836,2,2668562,1669671928.8800294
1,2,526.6501999997613,2,2673031,1669671933.3542264
1,1.41,929.0907000002276,3,2677500,1669671937.822354
1,16,655.1377999997326,1,2682093,1669671942.415054
1,16,436.4412000002571,2,2686437,1669671946.7533886
0,21.17,701.1085000001854,3,2691234,1669671951.5514724
0,1,-102.56,1,2695312,1669671955.6328201
0,1.41,646.4844999998545,1,2700312,1669671960.641259
0,8,848.6674000003345,1,2704484,1669671964.8136525
1,16,798.216599999972,1,2709328,1669671969.6475904
1,2,703.5104999998052,1,2714390,1669671974.7108183
1,4,550.6255000002907,2,2719171,1669671979.4995596
1,21.17,890.8478000001137,1,2723343,1669671983.662044
1,8,395.93300000005314,1,2728375,1669671988.6935198
1,21.17,523.7473999998597,3,2733109,1669671993.4291334
1,11.31,509.2895000000621,2,2737578,1669671997.8929265
1,1.41,686.49930000019,1,2741734,1669672002.050617
1,2.83,675.1876999999636,3,2746265,1669672006.5903585
1,4,493.5475999998684,2,2750781,1669672011.1082711
0,1,1010.8232000000439,1,2754718,1669672015.0465896
1,2,678.7926999998431,1,2759093,1669672019.4101243
1,2.83,523.5713999998493,2,2763515,1669672023.8302147
1,21.17,1119.1234999999265,3,2767687,1669672028.004434
1,2.83,556.8929000003604,2,2772750,1669672033.0682838
1,8,476.1615999998807,2,2777359,1669672037.6772008
0,1.41,807.1487999998621,1,2781687,1669672042.0025635
1,2,596.2925000001574,1,2786640,1669672046.965544
0,4,558.1240000004013,3,2790890,1669672051.2109644
1,11.31,918.9767999999217,3,2795234,1669672055.5618103
1,4,1099.4010000002104,3,2799796,1669672060.126052
1,2.83,492.6988000000105,3,2804984,1669672065.3078952
1,28,544.758699999687,3,2809125,1669672069.4478822
1,8,586.5016000000592,1,2813218,1669672073.5344048
1,4,491.81279999974635,1,2817250,1669672077.578948
1,8,537.8238000001088,2,2821468,1669672081.7904027
1,16,534.2715999998231,1,2825953,1669672086.2821712
1,5.66,489.4265999999274,2,2829953,1669672090.2722433
1,5.66,335.0377999998213,2,2834765,1669672095.0953133
0,2.83,1092.4969999999062,1,2838812,1669672099.1324842
1,5.66,635.5581999999172,3,2843953,1669672104.2693558
0,11.31,-102.56,1,2848234,1669672108.5535276
1,16,424.8527000002409,2,2853812,1669672114.1356766
1,1.41,616.530199999755,2,2858484,1669672118.8086498
420.69,-1,10000,-1,2902765,1669672163.0905359
420.69,8,5000.0,4,2921921,1669672182.2398877
420.69,8,5000.0,5,2930218,1669672190.5348394
420.69,8,5000.0,6,2939125,1669672199.4449089
1,2.83,581.8912000002397,6,3001437,1669672261.7660027
1,4,575.5643999998879,6,3006343,1669672266.6645954
1,11.31,912.3718999997377,6,3010359,1669672270.6872802
1,11.31,527.4102000001162,4,3015031,1669672275.352331
1,28,335.5004999996649,5,3019609,1669672279.9280577
1,4,650.4001999999614,6,3023656,1669672283.9712093
1,16,518.5574000000029,5,3028500,1669672288.816276
1,28,521.4724999998848,5,3033171,1669672293.4934394
1,21.17,450.593199999997,5,3037750,1669672298.0682847
1,2,662.2985000001731,6,3042125,1669672302.4482646
1,8,550.6549999998183,5,3046937,1669672307.2653482
0,1,896.6722999996759,4,3051656,1669672311.9834757
1,28,671.0660000001494,4,3055906,1669672316.2309005
1,11.31,754.2243999999241,6,3060921,1669672321.2448637
1,21.17,576.4996000000733,5,3065390,1669672325.7176404
1,11.31,533.6835000000915,5,3069515,1669672329.8331363
0,4,728.2858000001338,6,3073734,1669672334.0597656
1,1.41,760.3246999999951,4,3078171,1669672338.4958067
1,4,768.5629999998978,6,3082984,1669672343.3103826
1,16,549.0355999998369,5,3088109,1669672348.4342542
1,1,979.1450000000564,5,3092312,1669672352.6281996
1,2,545.7967000000222,5,3097687,1669672358.0134206
1,1.41,1003.9432999999858,4,3101781,1669672362.1074224
0,1,908.0287999998231,6,3106265,1669672366.5951023
1,2.83,1071.713400000402,6,3110718,1669672371.0474076
1,1,823.0250000004103,6,3115500,1669672375.8165076
1,1,700.0570000002822,5,3120468,1669672380.7924757
1,1,1047.8732999998042,4,3124687,1669672385.011809
1,4,552.4670000002457,5,3129843,1669672390.1666653
1,1.41,524.641299999797,5,3134843,1669672395.1621265
1,8,593.8953999996497,5,3139812,1669672400.1407382
1,5.66,674.4900000001448,4,3144640,1669672404.956822
1,5.66,403.45959999994506,5,3149656,1669672409.9712725
1,11.31,956.2183999999374,6,3154312,1669672414.626936
1,1.41,787.0164999997482,6,3159203,1669672419.5324588
1,2,631.8940999997662,6,3164453,1669672424.7742622
1,21.17,556.6670000001009,4,3169046,1669672429.361365
1,8,659.876600000001,6,3173593,1669672433.919359
1,1,643.5046999998062,5,3178312,1669672438.6274903
1,5.66,665.2544999999859,6,3182906,1669672443.220692
1,1,603.4985999997784,5,3187796,1669672448.1227167
1,1,469.24069999958505,5,3192859,1669672453.1776621
1,21.17,761.6863000001044,6,3196765,1669672457.0917912
