Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,6156015,1670019965.3343189
420.69,8,10000,1,6179968,1670019989.2941077
420.69,8,10000,2,6195421,1670020004.740433
420.69,8,10000,3,6210140,1670020019.458028
0,1,-102.56,3,6276875,1670020086.1986759
0,28,-102.56,2,6281593,1670020090.9083035
0,28,512.4467999997191,2,6286062,1670020095.3783104
0,1.41,-102.56,3,6290359,1670020099.6738658
0,5.66,-102.56,3,6295421,1670020104.7465472
0,1.41,-102.56,1,6300500,1670020109.8176966
0,8,-102.56,3,6304968,1670020114.2883632
