Correct Response,Height (deg),Reaction Time (ms),Target,CPU Uptime,UTC time
420.69,-1,10000,-1,148787687,1669230582.1423645
420.69,8,10000,1,148806953,1669230601.408221
420.69,8,10000,2,148819421,1669230613.872648
420.69,8,10000,3,148831828,1669230626.283196
1,2.83,559.4307999993302,2,148894625,1669230689.0868723
1,8,658.1754999927339,1,148898812,1669230693.2698605
1,16,448.8133999978285,3,148902906,1669230697.3588293
1,1,906.3551999854949,3,148907781,1669230702.2462816
1,5.66,545.5959000094422,3,148913031,1669230707.4837744
1,28,506.06929999711923,2,148917343,1669230711.80421
1,28,449.896399978837,1,148922171,1669230716.629624
0,4,430.8935999863874,3,148926640,1669230721.105722
1,5.66,374.2159999958798,2,148931203,1669230725.6671064
1,16,474.03320000675507,2,148935515,1669230729.9742603
1,1,729.6226999890619,3,148940109,1669230734.5752351
1,5.66,569.3863000190445,3,148944875,1669230739.3282852
1,11.31,537.0988000061457,1,148948890,1669230743.3444853
1,28,515.8099000102934,2,148953562,1669230748.0285614
1,11.31,726.6243000042718,3,148958515,1669230752.9787621
1,16,440.0194000038877,3,148962984,1669230757.4492836
1,11.31,586.7120000178088,1,148967312,1669230761.77129
1,21.17,661.1119000001904,3,148971718,1669230766.1798234
1,2,815.4503999970016,1,148976828,1669230771.282039
1,1.41,740.2001000003052,3,148981781,1669230776.2458274
1,21.17,616.499399998514,3,148986562,1669230781.018219
1,4,436.39819999161176,2,148991015,1669230785.469606
1,8,389.7075999987405,2,148995078,1669230789.5408835
1,21.17,622.248300001314,1,148999203,1669230793.6677084
1,1,735.349399997443,1,149004078,1669230798.531393
1,2,688.907900009593,1,149008625,1669230803.0902493
1,2,632.001900026165,3,149013093,1669230807.5526733
1,1.41,653.2087000080478,1,149017734,1669230812.2009869
1,1.41,770.8107000210416,3,149022437,1669230816.8958852
1,21.17,495.42660001251846,2,149027046,1669230821.5074375
1,8,652.7002000068874,1,149031484,1669230825.9426768
1,16,587.5380999926106,3,149036171,1669230830.639474
1,21.17,531.432400020361,1,149041203,1669230835.6720707
1,2.83,603.5025999874902,3,149046171,1669230840.6398659
1,2.83,654.6856000198145,2,149050906,1669230845.3731222
1,28,400.6524000135809,2,149055703,1669230850.1703458
1,16,465.2158999809157,2,149060140,1669230854.6017885
1,28,399.74580000788904,1,149064046,1669230858.5070295
1,11.31,535.0962000077684,3,149068125,1669230862.59318
1,8,587.4199999955576,3,149072437,1669230866.9046915
1,4,509.2079000017233,3,149076734,1669230871.204432
420.69,-1,10000,-1,149118000,1669230912.464215
420.69,8,5000.0,4,149133468,1669230927.9364016
420.69,8,5000.0,5,149140859,1669230935.3258924
420.69,8,5000.0,6,149147781,1669230942.247885
1,8,604.7607000212279,5,149207625,1669231002.08798
1,4,535.6593999888842,6,149211750,1669231006.2161636
1,8,660.1074000057392,4,149215734,1669231010.2005303
1,8,567.2528999851179,4,149219953,1669231014.416722
1,21.17,483.6974999919161,5,149224625,1669231019.0877664
1,2,564.8126000008174,4,149229500,1669231023.9696252
1,2.83,664.6558000059426,5,149233546,1669231028.0204654
1,4,360.95839997805655,5,149238296,1669231032.7648983
1,4,323.57279999932274,5,149242125,1669231036.5858898
1,1.41,482.6381999876443,6,149246125,1669231040.5963154
1,4,511.8361999914609,6,149250093,1669231044.5665002
1,2,475.48210000904277,5,149254203,1669231048.6657474
1,11.31,334.3106000095699,5,149258546,1669231053.0218694
1,1.41,749.1189000132122,4,149262859,1669231057.3218968
1,28,565.2521000004467,4,149267625,1669231062.0986516
1,2.83,533.7175999878068,5,149271640,1669231066.1155198
1,21.17,406.25220001610927,5,149276328,1669231070.7948968
1,4,525.4853999934253,4,149280484,1669231074.9475157
1,21.17,445.3275999979209,4,149285046,1669231079.5229394
1,5.66,470.5862999829091,5,149289937,1669231084.4026256
1,28,552.6550000061375,4,149294265,1669231088.727703
1,5.66,422.0179999822844,5,149298843,1669231093.3165436
1,1,610.6274000187964,5,149303312,1669231097.7829597
1,5.66,513.6217999964115,4,149307859,1669231102.3363392
1,4,501.6504000225663,4,149312265,1669231106.7283013
1,1,510.53020000044256,4,149316640,1669231111.1157627
1,28,529.6167000190449,5,149320687,1669231115.158924
1,2,602.3419999976736,6,149325671,1669231120.1360438
1,1,728.2374000053946,6,149330296,1669231124.770377
1,16,639.5277999975347,6,149335062,1669231129.5306318
1,11.31,439.51539997878484,6,149339140,1669231133.6117823
1,1,595.5935000086297,6,149343218,1669231137.6869302
1,2.83,702.3238999820874,4,149348265,1669231142.7320275
1,2.83,509.12450000695884,4,149352687,1669231147.1664762
1,1.41,664.4539999827371,4,149357343,1669231151.8102903
1,5.66,403.5812999930326,5,149362500,1669231156.9728267
1,1.41,649.1588000201714,6,149367015,1669231161.482711
1,11.31,505.09659998287447,5,149371312,1669231165.778233
1,2,543.320700001726,6,149375656,1669231170.1242313
1,16,592.4485999851581,6,149380234,1669231174.704589
